StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,Q26_Browser,Q26_Version,Q26_Operating System,Q26_Resolution,QID54_First Click,QID54_Last Click,QID54_Page Submit,QID54_Click Count,real_imaginary,initials_box,describe,feelings_youalone,feelings_bothyoufirst,feelings_themalone,feelings_boththemfirst,feelings_neither,feelings_youaloneforgiven,feelings_DO_1,feelings_DO_2,feelings_DO_3,feelings_DO_4,feelings_DO_5,feelings_DO_6,feelings_exp,outcome_binary1,outcome_binary1_DO_1,outcome_binary1_DO_2,outcome_binary2,outcome_binary2_DO_1,outcome_binary2_DO_2,blame_1,attention_1,attention_1_TEXT,attention_2,attention_2_TEXT,attention_3,attention_3_TEXT,target_sex,target_sex_3_TEXT,sex,sex_3_TEXT,age,comments,mainControl,passedattn,lottery_draw,winner,initials,initiator_type,InitiatorType-binarychoice_DO_outcome_binary2,InitiatorType-binarychoice_DO_outcome_binary1,InitiatorType-binarychoice_DO_Q30
1/27/21 12:12,1/27/21 12:17,IP Address,75.3.232.204,100,271,TRUE,1/27/21 12:17,R_2TAhz04fPgBTknX,,,,,41.88819885,-87.61640167,anonymous,EN,AGREE,Chrome,87.0.4280.141,Windows NT 10.0,1280x720,5.087,29.23,38.276,2,I have thought of a real argument/conflict from my life where this is true,AG,Debate of FS reporting approach,-20,21,30,20,-30,-30,4,2,1,3,5,6,,"I apologize first, then ${e://Field/initials} apologizes.",1,2,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,36,,,,,,banana,Female,,Female,,32,,showConsentOn showAttnOn,yes,24,0,AG,always,3,2,1
1/27/21 12:12,1/27/21 12:17,IP Address,116.68.200.230,100,273,TRUE,1/27/21 12:17,R_12otYqdSDsG4eL6,,,,,23.7460022,90.38198853,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1280x720,37.132,37.132,38.366,1,I am imagining myself in a fictional situation where this is true (I can't think of one from my own life),STX,"Not meeting deadlines, always showing up late, not participating, etc.",-30,0,10,30,-15,-30,3,5,4,1,2,6,,"I apologize first, then ${e://Field/initials} apologizes.",1,2,Neither I nor ${e://Field/initials} apologizes.,2,1,15,,,,,,banana,Female,,Female,,20,,showConsentOn showAttnOn,yes,5,0,STX,conditional,3,2,1
1/27/21 12:12,1/27/21 12:17,IP Address,24.118.47.227,100,285,TRUE,1/27/21 12:17,R_10DwSyWiQFkUfmC,,,,,45.01390076,-93.15450287,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1536x864,28.961,28.961,31.066,1,I am imagining myself in a fictional situation where this is true (I can't think of one from my own life),JK,JK and I had a conflict on what need to done for a certain project,-9,21,-20,22,-9,-19,3,2,1,4,5,6,,Neither I nor ${e://Field/initials} apologizes.,2,1,Neither I nor ${e://Field/initials} apologizes.,2,1,40,4,,3,,5,banana,Male,,Female,,27,,showConsentOn showAttnOn,yes,20,0,JK,never,2,3,1
1/27/21 12:12,1/27/21 12:17,IP Address,71.89.52.164,100,281,TRUE,1/27/21 12:17,R_OKg5nrDTv3nxWy5,,,,,44.96560669,-89.70659637,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1920x1080,22.941,38.06,43.983,6,I have thought of a real argument/conflict from my life where this is true,STX,"I send information that STX is supposed to verify. STX is supposed to let me know if I made any errors within a certain timeframe. I made an error in the information and STX did not tell me about this error like they were supposed to. So, it was my fault for the initial error but also STX's fault for not verifying like they were supposed to. ",-30,-9,-24,30,-24,0,1,2,5,3,4,6,,"I apologize first, then ${e://Field/initials} apologizes.",1,2,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,39,,,,,,banana,Male,,Female,,25,,showConsentOn showAttnOn,yes,1,1,STX,always,2,3,1
1/27/21 12:12,1/27/21 12:17,IP Address,128.135.215.145,100,296,TRUE,1/27/21 12:17,R_77KaqUoB8OLZETT,,,,,41.95550537,-87.66130066,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1280x720,14.649,14.649,15.624,1,I have thought of a real argument/conflict from my life where this is true,JP,My team missed a deadline with an important stakeholder because of an unclear expectation.,-10,20,-10,20,-5,-30,5,4,3,1,2,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,50,,,,,,Banana,Female,,Female,,48,,showConsentOn showAttnOn,yes,3,0,JP,always,2,3,1
1/27/21 12:12,1/27/21 12:17,IP Address,24.148.80.107,100,288,TRUE,1/27/21 12:17,R_BzjjEa5gf8TqZtn,,,,,41.99049377,-87.66790009,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1920x1080,24.092,27.605,29.654,3,I have thought of a real argument/conflict from my life where this is true,SP,"I posted a tweet on the official organization account at a clean energy nonprofit advocating for fighting climate change. My supervisor found it to be too polarizing and removed the tweet, then we had a heated conversation about the incident. ",-25,8,20,15,-10,5,4,3,5,2,1,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,Neither I nor ${e://Field/initials} apologizes.,1,2,30,,,,,,banana,Female,,Male,,33,,showConsentOn showAttnOn,yes,45,0,SP,conditional,2,3,1
1/27/21 12:12,1/27/21 12:17,IP Address,73.162.188.129,100,296,TRUE,1/27/21 12:17,R_273xTAn2WljgUWL,,,,,37.3526001,-121.9541016,anonymous,EN,AGREE,Firefox,84,Windows NT 10.0,1536x864,2.019,45.737,46.452,16,I have thought of a real argument/conflict from my life where this is true,STX,Disagreement on external relationship management,-20,8,-5,13,4,6,1,5,3,4,2,6,,Neither I nor ${e://Field/initials} apologizes.,2,1,Neither I nor ${e://Field/initials} apologizes.,1,2,26,,,,,,banana,Male,,Female,,28,,showConsentOn showAttnOn,yes,30,0,STX,never,2,3,1
1/27/21 12:12,1/27/21 12:17,IP Address,50.237.5.2,100,300,TRUE,1/27/21 12:17,R_1JIQqdbwA1pNry2,,,,,41.88819885,-87.61640167,anonymous,EN,AGREE,Chrome,87.0.4280.141,Windows NT 10.0,1280x720,7.364,33.927,36.835,3,I have thought of a real argument/conflict from my life where this is true,DC,"Work conflict -- he was my direct supervisor and always made unreasonable asks of the team and treated people poorly (e.g. yelling at them). There was one incident in particular where I had not thought critically enough about a workstream that I was on, and he blew up at me. ",-30,12,-8,22,-20,-30,1,3,5,2,4,6,,"I apologize first, then ${e://Field/initials} apologizes.",1,2,Neither I nor ${e://Field/initials} apologizes.,2,1,30,,,,,,banana,Male,,Female,,25,,showConsentOn showAttnOn,yes,10,0,DC,conditional,2,3,1
1/27/21 12:12,1/27/21 12:17,IP Address,73.110.216.130,100,314,TRUE,1/27/21 12:17,R_SOgj4BCERGRfTnH,,,,,41.97039795,-87.70359802,anonymous,EN,AGREE,Chrome,87.0.4280.141,Macintosh,1920x1080,52.147,52.147,53.813,1,I have thought of a real argument/conflict from my life where this is true,RA,Deciding on the number of workforce to allocate on a project,-8,10,-10,8,0,-8,4,5,1,2,3,6,,Neither I nor ${e://Field/initials} apologizes.,2,1,Neither I nor ${e://Field/initials} apologizes.,1,2,42,,,,,,banana,Male,,Male,,34,,showConsentOn showAttnOn,yes,9,0,RA,never,3,2,1
1/27/21 12:13,1/27/21 12:17,IP Address,24.15.204.115,100,262,TRUE,1/27/21 12:17,R_3EZulh7dYfh7e5v,,,,,41.89720154,-87.61959839,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 10.0,1920x1080,0.149,33.742,38.075,2,I have thought of a real argument/conflict from my life where this is true,wx,arguing with the ex-girl friend on some non-sense issues ,-20,10,-10,20,-30,-20,1,2,5,4,3,6,,"I apologize first, then ${e://Field/initials} apologizes.",1,2,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,40,5,,3,,5,banana,Female,,Male,,29,,showConsentOn showAttnOn,yes,15,0,wx,always,3,2,1
1/27/21 12:12,1/27/21 12:17,IP Address,73.51.84.108,100,309,TRUE,1/27/21 12:17,R_ZES96x08QlcbdHb,,,,,41.90249634,-87.67259979,anonymous,EN,AGREE,Chrome,87.0.4280.141,Windows NT 10.0,1920x1080,24.097,24.097,27.875,1,I have thought of a real argument/conflict from my life where this is true,ml,Disagreement about who would take responsibility for training and developing a new hire,-30,-30,8,3,-10,-30,1,4,3,2,5,6,"While I did contribute to the situation, I felt that it wasn't my responsibility to have taken on (as a peer to the new person) and it should have been the managers responsibility (who hired). Leading up to the hiring, it was said the manager would be leading the new hire, but then subsequently did not take accountability. ","I apologize first, then ${e://Field/initials} apologizes.",2,1,Neither I nor ${e://Field/initials} apologizes.,2,1,31,,,,,,banana,Female,,Female,,29,,showConsentOn showAttnOn,yes,41,0,ml,conditional,3,2,1
1/27/21 12:12,1/27/21 12:18,IP Address,50.237.5.2,100,310,TRUE,1/27/21 12:18,R_a3kWV0bdhtavauZ,,,,,41.88819885,-87.61640167,anonymous,EN,AGREE,Chrome,87.0.4280.141,Windows NT 10.0,1504x1003,22.028,38.193,39.067,5,I have thought of a real argument/conflict from my life where this is true,MD,"I was managing someone who was older and more educated than me (they were in their 40s and had a PhD, and I was in my 20's and did not). They were being generally very hostile in the workplace (towards many people), and they were letting small frustrations lead to strong, negative emotional reactions. While their negative emotional state was partly due to external factors, they were also frustrated by what they saw was me not being qualified to be managing them or telling them what to do. ",-30,20,-15,25,-20,-20,1,4,5,2,3,6,,"I apologize first, then ${e://Field/initials} apologizes.",1,2,Neither I nor ${e://Field/initials} apologizes.,1,2,35,,,,,,banana,Female,,Male,,29,,showConsentOn showAttnOn,yes,22,0,MD,conditional,2,3,1
1/27/21 12:12,1/27/21 12:18,IP Address,82.17.53.232,100,323,TRUE,1/27/21 12:18,R_Wed63N1m4iQgk6J,,,,,50.72410583,-1.789093018,anonymous,EN,AGREE,Chrome,88.0.4324.96,Macintosh,1440x900,32.2,32.2,34.478,1,I have thought of a real argument/conflict from my life where this is true,GL,I applied for an internal job without telling my manager because he made life difficult for a previous subordinate who did the same. I was told the process was confidential so decided not to tell him unless I got past the first stage of the application. He was told/found out and was angry. ,-10,10,-10,1,-21,-5,2,4,5,3,1,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",2,1,50,,,,,,banana,Male,,Female,,32,,showConsentOn showAttnOn,yes,1,1,GL,always,2,3,1
1/27/21 12:12,1/27/21 12:18,IP Address,108.12.231.18,100,331,TRUE,1/27/21 12:18,R_32L94V1ABVjNneH,,,,,41.83070374,-71.39820099,anonymous,EN,AGREE,Safari,13.1.2,Macintosh,1440x900,20.065,20.065,21.052,1,I have thought of a real argument/conflict from my life where this is true,MG,"She changed the direction of my research without discussing with me, without even realizing that she has changed it and that I have done work in the original direction.",-30,-24,30,15,-19,-24,4,5,3,1,2,6,,Neither I nor ${e://Field/initials} apologizes.,1,2,Neither I nor ${e://Field/initials} apologizes.,1,2,9,,,,,,banana,Female,,Female,,25,,showConsentOn showAttnOn,yes,38,0,MG,never,3,2,1
1/27/21 12:13,1/27/21 12:18,IP Address,172.114.141.25,100,312,TRUE,1/27/21 12:18,R_1FnUWdIjDGzgQDj,,,,,33.88989258,-118.4008026,anonymous,EN,AGREE,Chrome,87.0.4280.141,Macintosh,2560x1440,36.187,36.187,37.349,1,I have thought of a real argument/conflict from my life where this is true,STX,Miscommunication about having to attend (vs. not attend) a workplace outing.,-30,25,-30,30,-25,-30,4,1,2,3,5,6,"As long as we both apologize, it's great (and a few points slightly better if they apologize first, for selfish reasons).  It's worse if merely one party apologies than if neither party apologies. I have no idea why I feel that way, but it's interesting!","I apologize first, then ${e://Field/initials} apologizes.",2,1,Neither I nor ${e://Field/initials} apologizes.,1,2,10,,,,,,banana,Male,,Male,,34,,showConsentOn showAttnOn,yes,12,0,STX,conditional,3,2,1
1/27/21 12:12,1/27/21 12:18,IP Address,50.237.5.2,100,352,TRUE,1/27/21 12:18,R_1OOE61GORoVMF3d,,,,,41.88819885,-87.61640167,anonymous,EN,AGREE,Chrome,87.0.4280.141,Macintosh,1280x800,39.915,41.224,42.012,2,I have thought of a real argument/conflict from my life where this is true,MP,My colleague and I disagreed on the degrees of prioritization in implementing a project.,-13,12,-23,21,-30,-7,4,1,3,2,5,6,"I always feel worse when I am still harboring negative feelings versus the other person still harboring negative feelings. When the other person apologizes first, as long as it's sincere, I feel like they understand my viewpoint.","I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,54,,,,,,banana,Female,,Female,,29,,showConsentOn showAttnOn,yes,27,0,MP,always,3,2,1
1/27/21 12:12,1/27/21 12:18,IP Address,69.245.178.136,100,363,TRUE,1/27/21 12:18,R_3CHIMCYzzRNDJhL,,,,,41.89199829,-87.64160156,anonymous,EN,AGREE,Chrome,87.0.4280.67,Macintosh,1440x900,40.286,40.286,42.922,1,I have thought of a real argument/conflict from my life where this is true,DB,"After completing AP for the company, I mailed a check to a destination when I wasn't supposed to. DB was extremely upset because she was in charge of making sure that check got to where it needed to go. Nobody told me to treat that check any differently than the others, so I didn't give it to her to handle. ",-30,4,-27,17,-23,-30,2,3,5,1,4,6,,"I apologize first, then ${e://Field/initials} apologizes.",1,2,Neither I nor ${e://Field/initials} apologizes.,1,2,45,,,,,,banana,Female,,Female,,28,,showConsentOn showAttnOn,yes,47,0,DB,conditional,3,2,1
1/27/21 12:12,1/27/21 12:18,IP Address,137.83.250.144,100,373,TRUE,1/27/21 12:18,R_3ETfgmPWW135fiC,,,,,39.0480957,-77.47280121,anonymous,EN,AGREE,Chrome,88.0.4324.104,Windows NT 6.3,1920x1080,42.372,42.372,43.305,1,I have thought of a real argument/conflict from my life where this is true,MS,Disagreement on strategy and direction with a certain customer.,-20,-10,-30,-20,-10,-30,1,2,4,5,3,6,I'd want to apologize first but it would still pain me to know I wasn't at majority of fault to apologize first.,"I apologize first, then ${e://Field/initials} apologizes.",2,1,Neither I nor ${e://Field/initials} apologizes.,2,1,40,,,,,,banana,Male,,Male,,30,"I will always look internally for what I could have done better, but I also expect that out of others. Granted, if MS is to apologize and truly reflect I would be much more satisfied and believe it would strengthen our relationship. I tend to lean into conflict as I see it as an opportunity to strengthen the relationship rather than deteriorate it.",showConsentOn showAttnOn,yes,39,0,MS,conditional,2,3,1
1/27/21 12:13,1/27/21 12:19,IP Address,165.225.208.244,100,323,TRUE,1/27/21 12:19,R_1Cfpswb0QXwsb0G,,,,,43.64259338,-79.40019989,anonymous,EN,AGREE,Edge,18.18363,Windows NT 10.0,1920x1200,49.624,49.624,52.438,1,I have thought of a real argument/conflict from my life where this is true,MD,"We were wrong in some of our phone testing, but the building was also experiencing a lot of user error and not admitting it",9,30,-21,30,-2,-7,3,1,5,4,2,6,n/a,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",2,1,51,,,,,,banana,Female,,Male,,28,,showConsentOn showAttnOn,yes,40,0,MD,always,2,3,1
1/27/21 12:12,1/27/21 12:19,IP Address,76.16.36.127,100,395,TRUE,1/27/21 12:19,R_ZKKTKeRlmIFd5Qt,,,,,41.92149353,-87.64459991,anonymous,EN,AGREE,Safari iPhone,14.0.2,iPhone,414x896,4.448,65.234,68.217,9,I have thought of a real argument/conflict from my life where this is true,HC,HC thought we were deliberately leaving her out by leaving her behind at a red light. We did not realize she was following us and did not know where she was going without us. We also didn’t know she couldn’t text or call because she was on another call. ,-5,26,-6,27,-20,5,3,4,5,2,1,6,,"I apologize first, then ${e://Field/initials} apologizes.",1,2,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,39,,,,,,Banana,Female,,Female,,30,This conflict happened in an environment that was already tense due to clashing personalities/work styles. ,showConsentOn showAttnOn,yes,10,0,HC,always,2,3,1
1/27/21 12:12,1/27/21 12:19,IP Address,207.229.180.121,100,394,TRUE,1/27/21 12:19,R_WksLSD9WfbhPNIJ,,,,,41.8710022,-87.62889862,anonymous,EN,AGREE,Safari,13.1.2,Macintosh,1440x900,57.543,57.543,60.892,1,I have thought of a real argument/conflict from my life where this is true,JB,"J.B - who is a in a higher position than I am - tried to push their way into a project that I was working on with someone else. They couldn't take any of the hints I was dropping about not taking them on, but they kept insisting. This only stopped when my supervisor, who is at the same rank as J.B, stepped in and took the blame on himself saying that he didn't want more people in the project. I feel like I could have been more direct and saved my supervisor from having to take on that responsibility. ",-20,-10,-10,10,0,-30,4,1,3,5,2,6,"I did neutral for some because I would prefer not to have to even talk to them if possible, so it doesn't matter for me if we don't apologize to each other because it would mean I have to confront them again",Neither I nor ${e://Field/initials} apologizes.,2,1,Neither I nor ${e://Field/initials} apologizes.,1,2,19,,,,,,banana,Male,,Female,,26,,showConsentOn showAttnOn,yes,17,0,JB,never,3,2,1
1/27/21 12:12,1/27/21 12:19,IP Address,68.84.176.5,100,385,TRUE,1/27/21 12:19,R_vYWE7gCy9xrbATn,,,,,43.02130127,-85.60639954,anonymous,EN,AGREE,Chrome,88.0.4324.96,Macintosh,1440x900,93.161,93.161,98.356,1,I have thought of a real argument/conflict from my life where this is true,mr,"I wanted to advance our marketing strategy and got some things in motion; Afterwards, I looped in marketing team (should have done it before not after - my fault).  At a meeting, they were quite rude  that they had not been previously made aware of our needs.  Then when I asked for a strategic plan they kept referring to doing a roadmap and I asked for clarification and never got it. ",-30,11,20,30,-20,1,5,1,2,3,4,6,,Neither I nor ${e://Field/initials} apologizes.,1,2,Neither I nor ${e://Field/initials} apologizes.,2,1,40,,,,,,banana,Male,,Female,,45,,showConsentOn showAttnOn,yes,42,0,mr,never,3,2,1
1/27/21 12:12,1/27/21 12:19,IP Address,198.54.106.26,100,395,TRUE,1/27/21 12:19,R_A6Zu0rorxHYhIBP,,,,,41.88819885,-87.61640167,anonymous,EN,AGREE,Chrome,87.0.4280.141,Windows NT 10.0,1680x1050,48.243,48.243,49.934,1,I have thought of a real argument/conflict from my life where this is true,JC,JC had rules that applied to everyone but her. She was a manager but did not operate like one. She did not want to be held accountable to anyone. The conflict was that she heard that she was not available to me for questions when I started my new job; she was very offended. She also did not understand why I wanted to go to the NY office for onboarding. ,-30,11,0,21,-21,-10,3,1,4,2,5,6,,Neither I nor ${e://Field/initials} apologizes.,2,1,Neither I nor ${e://Field/initials} apologizes.,1,2,9,,,,,,banana,Female,,Female,,50,,showConsentOn showAttnOn,yes,14,0,JC,never,2,3,1
1/27/21 12:12,1/27/21 12:19,IP Address,63.139.68.84,100,392,TRUE,1/27/21 12:19,R_3PhRuMLpU5sBRM9,,,,,41.80180359,-87.59929657,anonymous,EN,AGREE,Chrome,88.0.4324.96,Macintosh,1680x1050,84.682,84.682,85.794,1,I have thought of a real argument/conflict from my life where this is true,FY,"We were working on a research project together. She was my PI and I was the first author. We disagreed about how the surveys should be constructed and how the results should be presented. I thought she was being too conclusive and exaggerating the findings, while she thought I was being too idealistic and not trusting her expertise enough.",-14,5,11,10,-6,-15,3,1,2,5,4,6,,"I apologize first, then ${e://Field/initials} apologizes.",2,1,"I apologize first, but ${e://Field/initials} does not apologize after that.",1,2,33,,,,,,banana,Female,,Male,,20,,showConsentOn showAttnOn,yes,12,0,FY,always,2,3,1
